Name,Nord-Süd,Dena Regionen,Kraftwerksart,Energieträger,EE/nicht EE,Bundesland,spez. Standort,Unerklärte Ziffer
Schwarze Pumpe (Standort),Nord,,Kohlekraftwerk,Braunkohle,nicht EE,Brandenburg,"51°32'03.0""N 14°21'01.7""E",
NEURATH_F,Süd,74,Braunkohlekraftwerk (BoA),Braunkohle,nicht EE,Nordrhein-Westfalen,"51° 2′ 22″ N, 6° 36′ 54″ O",
NEURATH_G,Süd,74,Braunkohlekraftwerk (BoA),Braunkohle,nicht EE,Nordrhein-Westfalen,"51° 2′ 22″ N, 6° 36′ 54″ O",
WEISWEILER_F_110,,,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",
WEISWEILER_G,,,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",
WEISWEILER_H,,,Kohlekraftwerk ,Braunkohle,nicht EE,Nordrhein-Wetsfalen,"50°50'09.2""N 6°18'59.7""E",
Boxberg (Standort),Nord,84,Wärmekraftwerk,Braunkohle,nicht EE,Sachsen,"51° 25′ 7″ N, 14° 34′ 6″ O",
Braunschweig GT,Nord,23,Wärmekraftwerk,Braunkohle,nicht EE,Sachsen,"51° 25′ 7″ N, 14° 34′ 6″ O",
Lippendorf EnBW,,,Braunkohlekraftwerk,Braunkohle,nicht EE,Sachsen,"51° 10′ 59″ N, 12° 22′ 22″ O",
Lippendorf VE,,,Braunkohlekraftwerk,Braunkohle,nicht EE,Sachsen,"51°11'03.2""N 12°22'22.3""E",
Schkopau,Nord,,Dampfkraftwerk,Braunkohle,nicht EE,Sachsen-Anhalt,"51° 24′ 4″ N, 11° 57′ 3″ O",
Jänschwalde (Standort),Nord,81,Kohlekraftwerk,Braunkohle ,nicht EE,Brandenburg,"51°50'16.2""N 14°27'23.9""E",
NEURATH_C,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",
NEURATH_D,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",
NEURATH_E,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",
