Name,Nord-Süd,DE2 (BZR ID2),Dena Regionen,Kraftwerksart,Energieträger,EE/nicht EE,Bundesland,,Unerklärte Ziffer,DEHST-ID,DEHST-Nummer,VET 2022 (Block),VET 2022 (Plant)
Ahrensfelde B (KapRes),Nord,Nord,81,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Brandenburg,"52°35'20.8""N 13°33'31.8""E",,,,,
Ahrensfelde C (KapRes),Nord,Nord,81,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Brandenburg,"52°35'20.8""N 13°33'31.8""E",,,,,
Ahrensfelde D (KapRes),Nord,Nord,81,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Brandenburg,"52°35'20.8""N 13°33'31.8""E",,,,,
Audorf,Nord,Nord,21,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Schleswig-Holstein,"54°17'25.6""N 9°43'23.1""E",,,,,
BASF-GESAMTEINSPEISG,Nord,,23/81,,Erdgas,Nicht EE,,,,,,,
BIBLIS_GT (bnBm),Süd,Süd,75,Gasturbinenkraftwerk (GTKW),Erdgas,nicht EE,Hessen,"49°42'19.4""N 8°24'57.6""E",,,,,
Braunschweig HKWM GT31,Nord,Nord,23,,Erdgas,Nicht EE,,,,,,,
Bremen BHKW,Nord,Nord,22,Blockheizkraftwerk,Erdgas,nicht EE,Bremen,"53° 3′ 35″ N, 8° 52′ 23″ O",,,,,
Emden 4 GT (KapRes),Nord,Nord,22,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Niedersachsen,"53°21'29.0""N 7°12'55.0""E",,,,,
Emsland Block B,Nord,Nord,22,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Niedersachsen,"52°28'51.9""N 7°18'06.5""E",,,,,
Emsland Block C,Nord,Nord,22,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Niedersachsen,"52°28'51.9""N 7°18'06.5""E",,,,,
Emsland Block C pool,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
Emsland Block D,Nord,Nord,22,GuD-Kraftwerk,Erdgas,nicht EE,Niedersachsen,"52° 28′ 51″ N, 7° 18′ 21″ O",,,,,
Emsland Block D pool,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
EMSLAND_DTB0,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
EMSLAND_DTC0,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
EMSLAND_DTD0,Nord,Nord,22,,Erdgas,Nicht EE,,,,,,,
Frankfurt West 4,Süd,Süd,24,Heizkraftwerk,Erdgas,nicht EE,Hessen,"50° 5′ 54″ N, 8° 39′ 12″ O",,,,,
Gebersdorf 1,Süd,Süd,24,GuD-Kraftwerk,Erdgas,nicht EE,Bayern,"49°25'17.8""N 11°00'34.5""E",,,,,
Gebersdorf 2,Süd,Süd,24,GuD-Kraftwerk,Erdgas,nicht EE,Bayern,"49°25'17.8""N 11°00'34.5""E",,,,,
Gebersdorf GT,Süd,Süd,24,GuD-Kraftwerk,Erdgas,nicht EE,Bayern,"49°25'17.8""N 11°00'34.5""E",,,,,
GERSTEINW_DTF2 (KapRes),Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,,,,
GERSTEINW_DTG2 (KapRes),Süd,Süd,73,GuD-Kraftwerk,Erdgas,Nicht EE,Nordrhein-Westfalen,Lippe,,,,,
GERSTEINW_F (KapRes),Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,,,,
GERSTEINW_G (KapRes),Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,,,,
GERSTEINW_GTF1 (KapRes),Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,,,,
GERSTEINW_GTG1 (KapRes),Süd,Süd,73,GuD-Kraftwerk,Erdgas,Nicht EE,Nordrhein-Westfalen,Lippe,,,,,
GERSTEINW_K1,Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,,,,
GUD_HERNE_6,Süd,Süd,72,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"51° 33′ 5″ N, 7° 11′ 20″ O",,,,,
GuDAnlageM120,Süd,Süd,,,Erdgas,Nicht EE,Hessen,,,,,,
HAMMUENTROP_10,Süd,Süd,73,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"51° 40′ 26″ N, 7° 55′ 45″ O",,,,,
HAMMUENTROP_20,Süd,Süd,73,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"51° 40′ 26″ N, 7° 55′ 45″ O",,,,,
Heizkraftwerk Altbach/Deizisau GT A,Süd,Süd,76,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°43'07.9""N 9°22'33.5""E",,,,,
Heizkraftwerk Altbach/Deizisau GT B,Süd,Süd,77,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°43'07.9""N 9°22'33.5""E",,,,,
Heizkraftwerk Altbach/Deizisau GT C,Süd,Süd,78,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°43'07.9""N 9°22'33.5""E",,,,,
Heizkraftwerk Altbach/Deizisau GT E,Süd,Süd,79,Heizkraftwerk (GuD),Erdgas,Nicht EE,Baden-Württemberg,,,,,,
Heizkraftwerk Gaisburg Block 3,Süd,Süd,42,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°46'53.5""N 9°13'53.5""E",,1227,14310-0671,,509
"Heizkraftwerk Stuttgart-Münster GT 16,17,18",Süd,Süd,42,Heizkraftwerk,Erdgas,Nicht EE,Baden-Württemberg,,,1227,14310-0672,,509
Heizkraftwerk_Pforzheim,Süd,Süd,75,Heizkraftwerk,Erdgas,nicht EE,Baden-Württemberg,"48°53'47.3""N 8°43'29.5""E",,1227,14310-0673,,509
HERDECKE_H6,Süd,Süd,73,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"51°24'10.6""N 7°24'46.6""E",,1227,14310-0674,,509
HKW BARMEN 1,Süd,Süd,72,Heizkraftwerk (GuD),Erdgas,nicht EE,NRW,"51° 16′ 8″ N, 7° 12′ 1″ O",,,,,
HKW_BA_B1_DT_23,,,,,Erdgas,Nicht EE,,,,,,,
HKW_BA_B1_GT_11,,,,,Erdgas,Nicht EE,,,,,,,
HKW_ROEMER_KW,Süd,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"49°13'26.8""N 7°00'54.9""E",,,,,
HKW_ROEMER_LM600,Süd,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"49°13'26.8""N 7°00'54.9""E",,,,,
INFRA_HOE_GTX1,Süd,,,Kraft-Wärme-Kopplung,Erdgas,nicht EE,Hessen,"50°04'44.6""N 8°32'01.5""E",,,,,
INFRA_HOE_GTX2,Süd,,,Kraft-Wärme-Kopplung,Erdgas,nicht EE,Hessen,"50°04'44.6""N 8°32'01.5""E",,,,,
INFRA_HOE_GTX3,Süd,,,,Erdgas,Nicht EE,Hessen,,,,,,
Irsching 4,Süd,Süd,27,Heizkraftwerk (GuD),Erdgas,nicht EE,Bayern,"48°46'00.1""N 11°34'35.7""E",,,,,
Irsching 5,Süd,Süd,28,Heizkraftwerk (GuD),Erdgas,nicht EE,Bayern,"48°46'00.1""N 11°34'35.7""E",,,,,
Irsching 6 (bnBm),Süd,Süd,29,Heizkraftwerk (GuD),Erdgas,nicht EE,Bayern,"48°46'00.1""N 11°34'35.7""E",,,,,
Kiel (Küstenkraftwerk gesamt),Nord,Nord,31,Gasmotorenheizkraftwerk,Erdgas,nicht EE,Schleswig-Holstein,"54° 20′ 29″ N, 10° 10′ 41″ O",,,,,
KMW_KW3,Süd,,,GuD-Kraftwerk,Erdgas,nicht EE,Rheinland-Pfalz,"50°01'34.8""N 8°14'13.9""E",,,,,
KMW_KW5,Süd,,,Heizkraftwerk (KWK),Erdgas,nicht EE,Rheinland-Pfalz,"50°01'34.8""N 8°14'13.9""E",,,,,
Knapsack 1,Süd,Süd,74,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"50°51'34.3""N 6°50'33.5""E",,,,,
KNAPSACK_20,Süd,Süd,74,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"50°51'34.3""N 6°50'33.5""E",,1004,14310-0429,,2.318
KNAPSACK_DT10,Süd,Süd,74,,Erdgas,Nicht EE,,,,,,,
KNAPSACK_GT11,Süd,Süd,74,,Erdgas,Nicht EE,,,,,,,
LAUSWARD_AGUD,Süd,Süd,72,,Erdgas,Nicht EE,,,,,,,
LAUSWARD_GUDF,Süd,Süd,72,Heizkraftwerk (KWK),Erdgas,nicht EE,Nordrhein-Westfalen,"51°13'14.2""N 6°43'53.3""E",,,,,
Linden GKL DT,Nord,Nord,23,,Erdgas,Nicht EE,Niedersachsen,,,,,,
Linden GKL GT 1,Nord,Nord,23,,Erdgas,Nicht EE,Niedersachsen,,,,,,
Linden GKL GT 3,Nord,Nord,23,,Erdgas,Nicht EE,Niedersachsen,,,,,,
LINGEN-GT1,Süd,Süd,22,,Erdgas,Nicht EE,Niedersachsen,,,,,,
LINGEN-GT2,Süd,Süd,22,,Erdgas,Nicht EE,Niedersachsen,,,,,,
München Nord 2,Süd,Süd,25,GuD-Kraftwerk,Erdgas,nicht EE,Bayern,"48°10'54.5""N 11°38'18.1""E",,1399,14310-0856,,1.989.681
München Süd GT 61,Süd,Süd,25,,Erdgas,Nicht EE,,,,852,14310-0257,,774.976
Netzreservekraftwerk Darmstadt/GTKW GT11,Süd,Süd,,Gasturbinenkraftwerk,Erdgas,nicht EE,Hessen,"49° 53′ 8″ N, 8° 38′ 58″ O",,,14310-2007,,7.550
Netzreservekraftwerk Darmstadt/GTKW GT12,Süd,Süd,,Gasturbinenkraftwerk,Erdgas,nicht EE,Hessen,"49° 53′ 8″ N, 8° 38′ 58″ O",,,,,
Netzreservekraftwerk KMW 2 DT,Süd,Süd,,Heizkraftwerk (KWK),Erdgas,nicht EE,Rheinland-Pfalz,"50°01'34.8""N 8°14'13.9""E",,1453 & 1454,14310-0915 & 14310-0916,,19127966
Netzreservekraftwerk UPM Schongau,Süd,Süd,,Heizkraftwerk (KWK),Erdgas,nicht EE,Bayern,"47°48'17.7""N 10°54'17.3""E",,,,,
Niederrad 1,Süd,Süd,,Heizkraftwerk,Erdgas,nicht EE,Hessen,"50° 5′ 7″ N, 8° 37′ 39″ O",,,,,
NIEHL-31-GUD,Süd,Süd,74,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"50° 58′ 30″ N, 6° 59′ 17″ O",,,,,
NIEHL-II,Süd,Süd,74,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"50° 58′ 30″ N, 6° 59′ 17″ O",,,,,
NIEHL-II-GT,Süd,Süd,74,,Erdgas,Nicht EE,,,,,,,
Plattling GT,Süd,Süd,26,KWK (GUD),Erdgas,Nicht EE,Bayern,,,208968,14310-1899,3.823.696,
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4,Süd,Süd,,GuD,Erdgas,nicht EE,Baden-Württemberg,"49°00'50.0""N 8°18'20.5""E",,,,,
ReserveKW Staudinger 4,Süd,Süd,,Dampfkraftwerk,Erdgas,nicht EE,Hessen,"50° 5′ 17″ N, 8° 57′ 8″ O",,,,,
Robert Frank 4 GT (KapRes),Nord,Nord,,GuD Kraftwerk,Erdgas,nicht EE,Niedersachsen,"52°32'46.8""N 9°06'59.0""E",,,,,
SWDU_HKW_3B,Süd,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"51°23'31.0""N 6°44'49.9""E",,,,,
Thyrow A (KapRes),Nord,Nord,81,,Erdgas,Nicht EE,,,,,,,
Thyrow A (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,,,,
Thyrow B (KapRes),Nord,Nord,81,,Erdgas,Nicht EE,,,,,,,
Thyrow B (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,,,,
Thyrow C (KapRes),Nord,Nord,81,,Erdgas,Nicht EE,,,,,,,
Thyrow C (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,,,,
Thyrow D (KapRes),Nord,Nord,81,,Erdgas,Nicht EE,,,,,,,
Thyrow D (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,,,,
Thyrow E (KapRes),Nord,Nord,81,,Erdgas,Nicht EE,,,,,,,
Thyrow E (SysRel),Nord,Nord,81,Gasturbinenkraftwerk,Erdgas,nicht EE,Brandenburg,"52°13'47.9""N 13°18'04.8""E",,,,,
UPM Schongau HKW3,Süd,Süd,,Heizkraftwerk (KWK),Erdgas,nicht EE,Bayern,"47°48'17.7""N 10°54'17.3""E",,,,,
WEISWEILER_VGTG3,Süd,Süd,74,,Erdgas,Nicht EE,,,,,,,
WEISWEILERVGT_H3,Süd,Süd,74,,Erdgas,Nicht EE,,,,,,,
Würzburg GT 1,Süd,Süd,25,Heizkraftwerk (GuD),Erdgas,nicht EE,Bayern,"49°47'58.9""N 9°55'26.2""E",,999,14310-0424,,1.222.480
Würzburg GT 2,Süd,Süd,25,Heizkraftwerk (GuD),Erdgas,Nicht EE,Bayern,,,,,,
LEIPHEIM_10 (bnBm),Süd,Süd,,Gasturbinenkraftwerk,Erdgas,nicht EE,Bayern,"48°26'09.2""N 10°14'04.5""E",,,,,
50H UW Bertikow,Nord,,81,Umspannwerk EE,Sonstige Erneuerbare Energien,EE,Brandenburg,"53° 15' 9"" N, 13° 57' 25"" O",,,,,
50H UW Schönewalde,Nord,,81,Umspannwerk EE,Sonstige Erneuerbare Energien,EE,Brandenburg,"51°49'41""N   13°9'26""E",,,,,
50H UW Wessin,Nord,,81,Umspannwerk EE,Sonstige Erneuerbare Energien,EE,Mecklenburg-Vorpommern,"53° 34' 20"" N, 11° 41' 55"" O",,,,,
50H UW Wustermark,Nord,,81,Umspannwerk EE,Sonstige Erneuerbare Energien,EE,Brandenburg,"52° 33' 40"" N, 12° 56' 26"" O",,,,,
EE Bayern,Süd,,26,Erneuerbare Pool,Sonstige Erneuerbare Energien,EE,Bayern,,,1481,14310-0945,,15.463
EE Hessen,Süd,,24,Erneuerbare Pool,Sonstige Erneuerbare Energien,EE,Hessen,,,1481,14310-0946,,15.463
EE Niedersachsen,Nord,,23,Erneuerbare Pool,Sonstige Erneuerbare Energien,EE,Niedersachsen,,,1481,14310-0947,,15.463
Irsching 3,Süd,Süd,26,Ölkraftwerk,Mineralöl,nicht EE,Bayern,"48°46'00.1""N 11°34'35.7""E",,1481,14310-0948,,15.463
Itzehoe,Nord,Nord,21,Ölkraftwerk,Mineralöl,nicht EE,Schleswig-Holstein,"53°57'58.9""N 9°26'55.9""E",,1481,14310-0949,,15.463
Kraftwerk Walheim GT D,Süd,Süd,42,Gasturbine,Mineralöl,nicht EE,Baden-Württemberg,"49°01'04.5""N 9°09'23.6""E",,1481,14310-0950,,15.463
Reservekraftwerk Marbach DT 3,Süd,Süd,,,Mineralöl,nicht EE,Baden-Württemberg,,,1481,14310-0951,,15.463
Reservekraftwerk Marbach GT 2,Süd,Süd,,,Mineralöl,nicht EE,Baden-Württemberg,,,,,,
Reservekraftwerk Marbach GT 3,Süd,Süd,,,Mineralöl,nicht EE,Baden-Württemberg,,,1380,14310-0835,,5.971.744
ReserveKW Ingolstadt 3,Süd,Süd,,Ölkraftwerk,Mineralöl,nicht EE,Bayern,"48°45'45.7""N 11°30'18.2""E",,1380,14310-0836,,5.971.744
ReserveKW Ingolstadt 4,Süd,Süd,,Ölkraftwerk,Mineralöl,nicht EE,Bayern,"48° 45′ 43″ N, 11° 30′ 9″ O",,1380,14310-0837,,5.971.744
ReserveKW Irsching 3,Süd,Süd,26,,Mineralöl,Nicht EE,Bayern,,,1380,14310-0838,,5.971.744
50H OWP Arcadis Ost 1,Nord,,80,Offshore Windpark,Windenergie (Offshore-Anlage),EE,Mecklenburg-Vorpommern,"54° 48′ 0″ N, 13° 41′ 0″ O",,1380,14310-0839,,5.971.744
50H OWP Arkona,Nord,,80,Offshore Windpark,Windenergie (Offshore-Anlage),EE,Ostsee,"54° 46′ 55″ N, 14° 7′ 16″ O",,215100,14310-1975,,452.557
50H OWP Baltic 1+2 Süd MIO,Nord,,80,Offshore Windpark,Windenergie (Offshore-Anlage),EE,Mecklenburg-Vorpommern,"54° 36′ 50″ N, 12° 40′ 0″ O (1) 54° 58′ 24″ N, 13° 10′ 40″ O (2)",,,,,
50H Hamburg Wedel1 Block1,Nord,Nord,82,,Steinkohle,Nicht EE,,,,1207,14310-0652,,663.669
50H OWP Wikinger,Nord,,80,Offshore Windpark,Windenergie (Offshore-Anlage),EE,Ostsee,"54° 50′ 2″ N, 14° 4′ 5″ O",,2195,14310-1413,,522.250
OWP UW Büttel,Nord,,22,Umspannwerk Wind,Windenergie (Offshore-Anlage),EE,Schleswig-Holstein,"53,917659° N, 9,235118° O",,1387,14310-0843,,1.697.240
OWP UW Diele,Nord,,22,Umspannwerk Wind,Windenergie (Offshore-Anlage),EE,Niedersachsen,"53° 7′ 12″ N, 7° 18′ 50″ E",,1387,14310-0844,,1.697.240
OWP UW Dörpen-West,Nord,,22,Umspannwerk Wind,Windenergie (Offshore-Anlage),EE,Niedersachsen,"53° 0′ N, 7° 18′ O",,1450,14310-0912,,1.536.543
OWP UW Emden-Ost,Nord,,22,Umspannwerk Wind,Windenergie (Offshore-Anlage),EE,Niedersachsen,"ca. 53° 22′ N, 7° 12′ O",,1450,14310-0913,,1.536.543
50H UW Altentreptow,Nord,,81,Umspannwerk Wind,Windenergie (Onshore-Anlage),EE,Mecklenburg-Vorpommern,"53° 42′ N, 13° 15′ O",17087,1450,14310-0914,,1.536.543
50H UW Iven,Nord,,81,Umspannwerk Wind,Windenergie (Onshore-Anlage),EE,Schleswig-Holstein,"54° 22′ N, 9° 49′ O",,1450,14310-0915,,1.536.543
Hannover (GKH) 1,Nord,Nord,23,,Steinkohle,Nicht EE,,,,,,,
Hannover (GKH) 2,Nord,Nord,23,,Steinkohle,Nicht EE,,,,,,,
HKW-OF-EVO,Süd,Süd,24,,Steinkohle,Nicht EE,,,,,,,
Rostock Kohlekraftwerk,Nord,Nord,81,,Steinkohle,Nicht EE,,,,202018,14310-1833,,6.233
VOELKLINGEN_MKV,Süd,Süd,75,,Steinkohle,Nicht EE,Saarland,,,1606,14310-1093,,24.223.327
Hohenwarte 2 (Standort),Nord,Nord,83,,Wasserkraft (Laufwasser),Nicht EE,,,,1887,14310-1439,,710
Kühtai 1 (Uniper),Österreich,Österreich,Österreich,,,Nicht EE,,,,889,14310-0298,584.481,
Kühtai 2 (TIWAG),Österreich,Österreich,Österreich,,,Nicht EE,,,,851,14310-0256,445.877,
50H OWP MIO Baltic 1+2,Nord,,80,,Windenergie (Offshore-Anlage),EE,,,,2195,14310-1412,,522.250
AMP_LEW_VERTEILNETZ_NORD_CR_WIND,Süd,,76,,Windenergie (Onshore-Anlage),EE,,,,1450,14310-0916,,1.536.543
AMP_LEW_VERTEILNETZ_SUED_CR_WIND,Süd,,76,,Windenergie (Onshore-Anlage),EE,,,,210625,14310-1946,,45.465
AMP_SYNA_TAUNUS_CR_WIND,Süd,,24,,Windenergie (Onshore-Anlage),EE,,,,1452,14310-0914,,1.914.021
AMP_VSE_CR_WIND,Süd,,75,,Windenergie (Onshore-Anlage),EE,,,,1463,14310-0925,,224.843
AMP_WESTNETZ_EMSLAND_CR_WIND,Nord,,22,,Windenergie (Onshore-Anlage),EE,,,,1077,14310-0511,,4.159
