Name,Nord-Süd,DE2 (BZR ID2),Dena Regionen,Kraftwerksart,Energieträger,EE/nicht EE,Bundesland,spez. Standort,Unerklärte Ziffer,DEHST-ID,DEHST-Nummer,VET 2022 (Block),VET 2022 (Plant)
GERSTEINW_F (KapRes),Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,1481,14310-0947,,15.463
GERSTEINW_G (KapRes),Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,1481,14310-0948,,15.463
GERSTEINW_GTF1 (KapRes),Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,1481,14310-0949,,15.463
GERSTEINW_GTG1 (KapRes),Süd,Süd,73,GuD-Kraftwerk,Erdgas,Nicht EE,Nordrhein-Westfalen,Lippe,,1481,14310-0950,,15.463
GERSTEINW_K1,Süd,Süd,73,Heizkraftwerk (GuD / CCGT),Erdgas,nicht EE,Nordrhein-Westfalen,"51°40'24.1""N 7°42'42.7""E",,1481,14310-0951,,15.463
Goldisthal (Standort),Nord,,83,,Wasser,EE,,,,,,,
Grosskraftwerk Mannheim Block 6,Süd,Süd,75,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,1380,14310-0835,,5.971.744
Grosskraftwerk Mannheim Block 6 7 und 8,Süd,Süd,75,Heizkraftwerk,Steinkohle,Nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,1380,14310-0836,,5.971.744
Grosskraftwerk Mannheim Block 6 und 8,Süd,Süd,75,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,1380,14310-0837,,5.971.744
Grosskraftwerk Mannheim Block 7,Süd,Süd,75,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,1380,14310-0838,,5.971.744
Grosskraftwerk Mannheim Block 9,Süd,Süd,75,Heizkraftwerk,Steinkohle,Nicht EE,Baden-Württemberg,"49°26'39.4""N 8°30'11.4""E",,1380,14310-0839,,5.971.744
GUD_HERNE_6,Süd,Süd,72,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"51° 33′ 5″ N, 7° 11′ 20″ O",,215100,14310-1975,,452.557
GuDAnlageM120,Süd,Süd,,,,Nicht EE,Hessen,,,,,,
HAMMUENTROP_10,Süd,Süd,73,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"51° 40′ 26″ N, 7° 55′ 45″ O",,2195,14310-1412,,522.250
HAMMUENTROP_20,Süd,Süd,73,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"51° 40′ 26″ N, 7° 55′ 45″ O",,2195,14310-1413,,522.250
Hannover (GKH) 1,Nord,Nord,23,,,Nicht EE,,,,1387,14310-0843,,1.697.240
Hannover (GKH) 2,Nord,Nord,23,,,Nicht EE,,,,1387,14310-0844,,1.697.240
Heizkraftwerk Altbach/Deizisau Block 2,Süd,Süd,75,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"48°43'07.9""N 9°22'33.5""E",,1450,14310-0912,,1.536.543
Heizkraftwerk Altbach/Deizisau GT A,Süd,Süd,76,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°43'07.9""N 9°22'33.5""E",,1450,14310-0913,,1.536.543
Heizkraftwerk Altbach/Deizisau GT B,Süd,Süd,77,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°43'07.9""N 9°22'33.5""E",,1450,14310-0914,,1.536.543
Heizkraftwerk Altbach/Deizisau GT C,Süd,Süd,78,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°43'07.9""N 9°22'33.5""E",,1450,14310-0915,,1.536.543
Heizkraftwerk Altbach/Deizisau GT E,Süd,Süd,79,Heizkraftwerk (GuD),Erdgas,Nicht EE,Baden-Württemberg,,,1450,14310-0916,,1.536.543
Heizkraftwerk Gaisburg Block 3,Süd,Süd,42,Heizkraftwerk (GuD),Erdgas,nicht EE,Baden-Württemberg,"48°46'53.5""N 9°13'53.5""E",,210625,14310-1946,,45.465
Heizkraftwerk Heilbronn Block 7,Süd,Süd,41,Heizkraftwerk,Steinkohle,Nicht EE,Baden-Württemberg,,,1452,14310-0914,,1.914.021
"Heizkraftwerk Stuttgart-Münster GT 16,17,18",Süd,Süd,42,Heizkraftwerk,Erdgas,Nicht EE,Baden-Württemberg,,,1463,14310-0925,,224.843
Heizkraftwerk_Pforzheim,Süd,Süd,75,Heizkraftwerk,Erdgas,nicht EE,Baden-Württemberg,"48°53'47.3""N 8°43'29.5""E",,1077,14310-0511,,4.159
HERDECKE_H6,Süd,Süd,73,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"51°24'10.6""N 7°24'46.6""E",,1409,14310-0866,,357.317
HERNE_4,Süd,Süd,72/73,GuD-Kraftwerk + Kohlekraftwerk,Erdgas / Steinkohle,nicht EE,Nordrhein-Westfalen,"51°33'04.8""N 7°11'08.0""E",,215100,14310-1975,,452.557
Heyden,Süd,,23,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"52°22'44.8""N 8°59'47.7""E",,1291,14310-0742,,1.382.813
HKW BARMEN 1,Süd,Süd,72,Heizkraftwerk (GuD),Erdgas,nicht EE,NRW,"51° 16′ 8″ N, 7° 12′ 1″ O",,882,14310-0291,,18.623
HKW_BA_B1_DT_23,,,,,,Nicht EE,,,,,,,
HKW_BA_B1_GT_11,,,,,,Nicht EE,,,,,,,
HKW_ROEMER_KW,Süd,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"49°13'26.8""N 7°00'54.9""E",,1746,14310-1293,,156.876
HKW_ROEMER_LM600,Süd,Süd,,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"49°13'26.8""N 7°00'54.9""E",,1746,14310-1294,,156.876
HKW-OF-EVO,Süd,Süd,24,,,Nicht EE,,,,,,,
Hohenwarte 2 (Standort),Nord,Nord,83,,,Nicht EE,,,,,,,
INFRA_HOE_GTX1,Süd,,,Kraft-Wärme-Kopplung,Erdgas,nicht EE,Hessen,"50°04'44.6""N 8°32'01.5""E",,,,,
INFRA_HOE_GTX2,Süd,,,Kraft-Wärme-Kopplung,Erdgas,nicht EE,Hessen,"50°04'44.6""N 8°32'01.5""E",,,,,
INFRA_HOE_GTX3,Süd,,,,,Nicht EE,Hessen,,,,,,
Irsching 3,Süd,Süd,26,Ölkraftwerk,Öl,nicht EE,Bayern,"48°46'00.1""N 11°34'35.7""E",,1207,14310-0651,,663.669
Irsching 4,Süd,Süd,27,Heizkraftwerk (GuD),Erdgas,nicht EE,Bayern,"48°46'00.1""N 11°34'35.7""E",,4148,14310-1748,440.528,
Irsching 5,Süd,Süd,28,Heizkraftwerk (GuD),Erdgas,nicht EE,Bayern,"48°46'00.1""N 11°34'35.7""E",,1207,14310-0651,,663.669
Irsching 6 (bnBm),Süd,Süd,29,Heizkraftwerk (GuD),Erdgas,nicht EE,Bayern,"48°46'00.1""N 11°34'35.7""E",,1207,14310-0652,,663.669
Itzehoe,Nord,Nord,21,Ölkraftwerk,Öl,nicht EE,Schleswig-Holstein,"53°57'58.9""N 9°26'55.9""E",,1212,14310-0656,,867
Jänschwalde (Standort),Nord,Nord,81,Kohlekraftwerk,Braunkohle ,nicht EE,Brandenburg,"51°50'16.2""N 14°27'23.9""E",,1456,14310-0918,,15.312.823
Kiel (Küstenkraftwerk gesamt),Nord,Nord,31,Gasmotorenheizkraftwerk,Erdgas,nicht EE,Schleswig-Holstein,"54° 20′ 29″ N, 10° 10′ 41″ O",,210483,14310-1904,,277.144
KMW_KW3,Süd,,,GuD-Kraftwerk,Erdgas,nicht EE,Rheinland-Pfalz,"50°01'34.8""N 8°14'13.9""E",,,,,
KMW_KW5,Süd,,,Heizkraftwerk (KWK),Erdgas,nicht EE,Rheinland-Pfalz,"50°01'34.8""N 8°14'13.9""E",,,,,
Knapsack 1,Süd,Süd,74,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"50°51'34.3""N 6°50'33.5""E",,,,,
KNAPSACK_20,Süd,Süd,74,GuD-Kraftwerk,Erdgas,nicht EE,Nordrhein-Westfalen,"50°51'34.3""N 6°50'33.5""E",,202777,14310-1839,,205.834
KNAPSACK_DT10,Süd,Süd,74,,,Nicht EE,,,,1888,14310-1410,,257.312
KNAPSACK_GT11,Süd,Süd,74,,,Nicht EE,,,,1888,14310-1411,,257.312
Kraftwerk Walheim GT D,Süd,Süd,42,Gasturbine,Heizöl,nicht EE,Baden-Württemberg,"49°01'04.5""N 9°09'23.6""E",,1464,14310-0926,,144.413
Kühtai 1 (TIWAG),Österreich,,Österreich,Wasser,Wasser,EE,Österreich?,,,,,,
Kühtai 1 (Uniper),Österreich,Österreich,Österreich,,,Nicht EE,,,,,,,
Kühtai 2 (TIWAG),Österreich,Österreich,Österreich,,,Nicht EE,,,,,,,
Kühtai 2 (Uniper),Österreich,,Österreich,Wasser,Wasser,EE,Österreich?,,,,,,
LAUSWARD_AGUD,Süd,Süd,72,,,Nicht EE,,,,1095,14310-0531,,915.963
LAUSWARD_GUDF,Süd,Süd,72,Heizkraftwerk (KWK),Erdgas,nicht EE,Nordrhein-Westfalen,"51°13'14.2""N 6°43'53.3""E",,1095,14310-0532,,915.963
LEIPHEIM_10 (bnBm),Süd,Süd,,Gasturbinenkraftwerk,Ergas,nicht EE,Bayern,"48°26'09.2""N 10°14'04.5""E",,,14310-2025,,0
Leitzach 1 M11,Süd,,26,Pumpspeicherkraftwerke ,Wasser,EE,Bayern,"47°52'25.7""N 11°52'17.6""E",,,,,
Leitzach 2 M21,Süd,,26,Pumpspeicherkraftwerke ,Wasser,EE,Bayern,"47°52'25.7""N 11°52'17.6""E",,,,,
Leitzach 2 M22,Süd,,26,Pumpspeicherkraftwerke ,Wasser,EE,Bayern,"47°52'25.7""N 11°52'17.6""E",,,,,
Linden GKL DT,Nord,Nord,23,,,Nicht EE,Niedersachsen,,,1382,14310-0837,,226.902
Linden GKL GT 1,Nord,Nord,23,,,Nicht EE,Niedersachsen,,,1382,14310-0838,,226.902
Linden GKL GT 3,Nord,Nord,23,,,Nicht EE,Niedersachsen,,,1382,14310-0839,,226.902
LINGEN-GT1,Süd,Süd,22,,,Nicht EE,Niedersachsen,,,1479,14310-0943,,1.369.575
LINGEN-GT2,Süd,Süd,22,,,Nicht EE,Niedersachsen,,,1479,14310-0944,,1.369.575
Lippendorf EnBW,Nord,Nord,,Braunkohlekraftwerk,Braunkohle,nicht EE,Sachsen,"51° 10′ 59″ N, 12° 22′ 22″ O",,,,,
Lippendorf VE,Nord,Nord,,Braunkohlekraftwerk,Braunkohle,nicht EE,Sachsen,"51°11'03.2""N 12°22'22.3""E",,,,,
Mehrum,Nord,Nord,23,Dampfkraftwerk,Steinkohle,nicht EE,Niedersachsen,"52° 18′ 51″ N, 10° 5′ 29″ O",,,,,
München Nord 2,Süd,Süd,25,GuD-Kraftwerk,Erdgas,nicht EE,Bayern,"48°10'54.5""N 11°38'18.1""E",,741,14310-0131,,1.194.901
München Süd GT 61,Süd,Süd,25,,,Nicht EE,,,,747,14310-0141,,506.095
Netzreservekraftwerk Darmstadt/GTKW GT11,Süd,Süd,,Gasturbinenkraftwerk,Erdgas,nicht EE,Hessen,"49° 53′ 8″ N, 8° 38′ 58″ O",,202018,14310-1832,,6.233
Netzreservekraftwerk Darmstadt/GTKW GT12,Süd,Süd,,Gasturbinenkraftwerk,Erdgas,nicht EE,Hessen,"49° 53′ 8″ N, 8° 38′ 58″ O",,202018,14310-1833,,6.233
Netzreservekraftwerk KMW 2 DT,Süd,Süd,,Heizkraftwerk (KWK),Erdgas,nicht EE,Rheinland-Pfalz,"50°01'34.8""N 8°14'13.9""E",,,,,
Netzreservekraftwerk UPM Schongau,Süd,Süd,,Heizkraftwerk (KWK),Erdgas,nicht EE,Bayern,"47°48'17.7""N 10°54'17.3""E",,1665,14310-1180,,240.937
Netzreservekraftwerk VOELKLINGEN_HKV,Süd,Süd,,Kohlekraftwerke,Steinkohle,nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",,889,14310-0298,,584.481
Netzreservekraftwerk VOELKLINGEN_MKV,Süd,Süd,,Kohlekraftwerke,Steinkohle,nicht EE,Saarland,"49°14'56.8""N 6°52'51.5""E",,851,14310-0256,,445.877
NEURATH_C,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",,1606,14310-1093,,24.223.327
NEURATH_D,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",,1606,14310-1094,,24.223.327
NEURATH_E,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"51°02'08.7""N 6°36'49.0""E",,1606,14310-1095,,24.223.327
NEURATH_F,Süd,Süd,74,Braunkohlekraftwerk (BoA),Braunkohle,nicht EE,Nordrhein-Westfalen,"51° 2′ 22″ N, 6° 36′ 54″ O",,1606,14310-1096,,24.223.327
NEURATH_G,Süd,Süd,74,Braunkohlekraftwerk (BoA),Braunkohle,nicht EE,Nordrhein-Westfalen,"51° 2′ 22″ N, 6° 36′ 54″ O",,1606,14310-1097,,24.223.327
NIEDERAUSSEM_E,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",,1649,14310-1153,,16.995.539
NIEDERAUSSEM_F,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",,1649,14310-1154,,16.995.539
NIEDERAUSSEM_G,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",,1649,14310-1155,,16.995.539
NIEDERAUSSEM_H,Süd,Süd,74,Kohlekraftwerke,Braunkohle ,nicht EE,Nordrhein-Westfalen,"50°59'32.3""N 6°40'23.8""E",,1649,14310-1156,,16.995.539
NIEDERAUSSEM_K,Süd,Süd,74,,,Nicht EE,,,,1649,14310-1157,,16.995.539
Niederrad 1,Süd,Süd,,Heizkraftwerk,Erdgas,nicht EE,Hessen,"50° 5′ 7″ N, 8° 37′ 39″ O",,1644,14310-1144,,114.807
NIEHL-31-GUD,Süd,Süd,74,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"50° 58′ 30″ N, 6° 59′ 17″ O",,1279,14310-0726,,1.059.082
NIEHL-II,Süd,Süd,74,Heizkraftwerk (GuD),Erdgas,nicht EE,Nordrhein-Westfalen,"50° 58′ 30″ N, 6° 59′ 17″ O",,1279,14310-0727,,1.059.082
NIEHL-II-GT,Süd,Süd,74,,,Nicht EE,,,,1887,14310-1439,,710
OWP Nordergründe,Nord,,20,,Wind,EE,,,,,,,
OWP Riffgat,Nord,,20,,Wind,EE,,,,,,,
OWP UW Büttel,Nord,,22,Umspannwerk Wind,Offshore Wind,EE,Schleswig-Holstein,"53,917659° N, 9,235118° O",,,,,
OWP UW Diele,Nord,,22,Umspannwerk Wind,Offshore Wind,EE,Niedersachsen,"53° 7′ 12″ N, 7° 18′ 50″ E",,,,,
OWP UW Dörpen-West,Nord,,22,Umspannwerk Wind,Offshore Wind,EE,Niedersachsen,"53° 0′ N, 7° 18′ O",,,,,
OWP UW Emden-Ost,Nord,,22,Umspannwerk Wind,Offshore Wind,EE,Niedersachsen,"ca. 53° 22′ N, 7° 12′ O",,,,,
Plattling GT,Süd,Süd,26,KWK (GUD),GT-Abgas + Erdgas,Nicht EE,Bayern,,,4132,14310-1737,,220.633
PSW Rönkhausen,Nord,,73,,Wasser,EE,,,,,,,
Pumpspeicherwerk Glems,Süd,,42,Pumpspeicherkraftwerk,Wasser,EE,Baden-Württemberg,"48°30'17.7""N 9°17'13.3""E",,,,,
Pumpspeicherwerk Säckingen RZ TNG,Süd,,42,Pumpspeicherkraftwerk,Wasser,EE,Baden-Württemberg,"47°33'55.0""N 7°57'11.4""E",,,,,
Pumpspeicherwerk Schluchseegruppe Häusern/Waldshut/Witznau RZ TNG,Süd,,42,Pumpspeicherkraftwerk,Wasser,EE,Baden-Württemberg,"47°45'18.2""N 8°11'14.6""E",,,,,
Pumpspeicherwerk Wehr RZ TNG,Süd,,42,,Wasser,EE,,,,,,,
Reisach 1,Süd,,25,Pumpspeicherkraftwerk,Wasser,EE,Bayern,"49°31'47.4""N 12°17'07.8""E",,,,,
Reisach 2,Süd,,25,Pumpspeicherkraftwerk,Wasser,EE,Bayern,"49°31'47.4""N 12°17'07.8""E",,,,,
Reisach 3,Süd,,25,Pumpspeicherkraftwerk,Wasser,EE,Bayern,"49°31'47.4""N 12°17'07.8""E",,,,,
Reservekraftwerk Altbach/Deizisau Block 1,Süd,Süd,,Heizkraftwerk (Fuel Switch),Steinkohle,nicht EE,Baden-Württemberg,"48°43'02.1""N 9°22'26.5""E",,1450,14310-0912,,1.536.543
Reservekraftwerk Heilbronn Block 5,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°10'41.9""N 9°12'30.6""E",,1452,14310-0914,,1.914.021
Reservekraftwerk Heilbronn Block 6,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°10'41.9""N 9°12'30.6""E",,1452,14310-0915,,1.914.021
Reservekraftwerk Marbach DT 3,Süd,Süd,,,Heizöl,nicht EE,Baden-Württemberg,"48°55'37.2""N 9°13'48.2""E",,1455,14310-0917,,94.149
Reservekraftwerk Marbach GT 2,Süd,Süd,,,Heizöl,nicht EE,Baden-Württemberg,"48°55'37.2""N 9°13'48.2""E",,1455,14310-0917,,94.149
Reservekraftwerk Marbach GT 3,Süd,Süd,,,Heizöl,nicht EE,Baden-Württemberg,"48°55'37.2""N 9°13'48.2""E",,1455,14310-0917,,94.149
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4,Süd,Süd,,GuD,Erdgas,nicht EE,Baden-Württemberg,"49°00'50.0""N 8°18'20.5""E",,1457,14310-0918,,4.764.061
Reservekraftwerk Walheim Block 1,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°01'02.9""N 9°09'25.0""E",,1464,14310-0926,,144.413
Reservekraftwerk Walheim Block 2,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49°01'02.9""N 9°09'25.0""E",,1464,14310-0927,,144.413
ReserveKW Heyden,Süd,,,Kohlekraftwerk,Steinkohle,nicht EE,Nordrhein-Westfalen,"52°22'44.0""N 8°59'46.4""E",,1291,14310-0742,,1.382.813
ReserveKW Ingolstadt 3,Süd,Süd,,Ölkraftwerk,Heizöl schwer,nicht EE,Bayern,"48°45'45.7""N 11°30'18.2""E",,1447,14310-0907,,42.018
ReserveKW Ingolstadt 4,Süd,Süd,,Ölkraftwerk,Heizöl schwer,nicht EE,Bayern,"48° 45′ 43″ N, 11° 30′ 9″ O",,1447,14310-0907,,42.018
ReserveKW Irsching 3,Süd,Süd,26,,,Nicht EE,Bayern,,,1207,14310-0651,,663.669
ReserveKW Staudinger 4,Süd,Süd,,Dampfkraftwerk,Erdgas,nicht EE,Hessen,"50° 5′ 17″ N, 8° 57′ 8″ O",,1876,14310-1392,,2.094.305
ReserveKW Staudinger 5,Süd,Süd,,Kohlekraftwerk,Steinkohle,nicht EE,Hessen,"50°05'14.3""N 8°57'28.0""E",,1876,14310-1392,,2.094.305
Rheinhafen-Dampfkraftwerk Karlsruhe Block 7,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49° 0′ 45″ N, 8° 18′ 10″ O",,1457,14310-0918,,4.764.061
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,Süd,Süd,,Heizkraftwerk,Steinkohle,nicht EE,Baden-Württemberg,"49° 0′ 45″ N, 8° 18′ 10″ O",,1457,14310-0919,,4.764.061
